Topic,Count,Name,Representation,Representative_Docs
0,4843,0_luigi_the_to_you,"['luigi', 'the', 'to', 'you', 'is', 'and', 'this', 'for', 'free', 'my']","['“I didn’t do it!” \n\nYou’re a hero Luigi! \n\n“BUT I DIDNT DO IT THEY SET ME UP!” \n\nWe love you Luigi! You show those corporate bastards \n\n“OH MY GOD I HATE YOU ALL”', 'LUIGI WE NEED YOU', 'This is #LuigiMangione and we are $Luigi']"
1,4371,1_mangione_the_luigi_to,"['mangione', 'the', 'luigi', 'to', 'is', 'of', 'and', 'in', 'for', 'that']","[""This is not the same individual\n\nThe shooter was a professional. Luigi Mangione is the clown and the fall guy that has been selected by the media and the feds.\n\nThey don't know who the real shooter is."", 'And in this house, Luigi Mangione is a hero.', 'luigi mangione is the person of the year']"
2,4256,2_the_luigi_to_is,"['the', 'luigi', 'to', 'is', 'and', 'of', 'that', 'for', 'in', 'they']","[""just saying this now if this doesn't show you how corrupt the government is with companies and allowing shady shit for a cut of the pay. look at what they are doing with luigi after he killed one guy. a ceo of a company and they treating him like an actual terrorist its insane"", ""Pretty simple - he didn't shoot UNH CEO. There is no way that the person that did was EVER in Altoona PA and Luigi did not go to a McDonalds.\n\nThe killer left the US within ours of the shooting and (if he/she is still alive at all) is not in the US."", 'Of course he did it but I believe what the guy is trying to say is that he didn’t do it on his own. The insurance guy was set up. How did Luigi know he was going to be there? Who was that guy there to met? The NYPD is busy parading him around like he’s Batman.']"
3,1317,3_brian_thompson_the_of,"['brian', 'thompson', 'the', 'of', 'to', 'and', 'unitedhealthcare', 'was', 'for', 'ceo']","['I killed Brian Thompson', ""The people who fear this are the worst people on the planet. I am also glad that Brian Thompson will not get to enjoy all the money he received for destroying people's lives. Fuck Brian Thompson and all those who are like him."", 'This man is not the killer of Brian Thompson.']"
4,166,4_pardon_biden_luigi_trump,"['pardon', 'biden', 'luigi', 'trump', 'mangione', 'president', 'should', 'pardoned', 'joe', 'the']","['Should Biden pardon Luigi?', 'If Joe Biden can pardon Hunter Biden he should also pardon Luigi Mangione\n\nFREE LUIGI MANGIONE! 😍', 'Should Biden pardon Luigi Mangione?']"
