Topic,Count,Name,Representation,Representative_Docs
11,70,11_luigi_him_me_you,"['luigi', 'him', 'me', 'you', 'why', 'my', 'good', 'like', 'for', 'hes']","[""Luigi isn't remotely like you. From what everyone says about him he's a good family man while you left your on family homeless. Plus you look like a real bitch compared to him"", ""What Luigi no I don't know a thing Luigi is a good person to be honest I'm little blind in one of my eyes honestly free him he's a good man with great leadership God can strike me down 3 times and cross my heart"", ""I just want to know who he is, to get lost with him. I'm in love with how he came out in this damn photo and I know perfectly well that it's not Luigi and screw me... he never will be. But my curious mind attracts me to him like a magnet..""]"
12,58,12_luigi_and_the_ceo,"['luigi', 'and', 'the', 'ceo', 'is', 'to', 'in', 'for', 'he', 'people']","['No, what is happening is justice. You piece of shit hero, who grew up privileged due to the same industry you despise, murdered and man only because of the job he held. Luigi will die in prison for his crimes, if not sooner.', ""this man deserves defending, as he was killed in cold blood by a degenerate bit of filth. That mans kids are gowing up with out their father.\n\nhe worked for a company for 20 years and rose to become the CEO.\n\nthat filth luigi, grew up in luxury and didn't appreciate what he had"", 'i haven’t said shit about that Luigi case because i wanted all the facts and now that I have them . Why people are gunning for a MURDERER to be free is insane to me ! He killed a man that had a family , the healthcare system is still fucked up like ..']"
13,55,13_of_the_brian_thompson,"['of', 'the', 'brian', 'thompson', 'is', 'to', 'ceo', 'murder', 'as', 'that']","['Let’s be honest: The people celebrating the cold blooded murder of Brian Thompson are the ones that suffer from a deranged level of greed & jealousy; they see him as a worthless & expendable object simply because he was wealthy and they aren’t.\n\nBrian Thompson, as CEO, wasn’t the…', 'Just a reminder that Brian Thompson, the CEO of UnitedHealth who was just shot and killed in NY, was a human being with a family. So many of the comments on his murder are despicable.', 'Many people I know are praising the cold blooded murder of the United Healthcare CEO, Brian Thompson. This is wrong and it is mental illness.\n\n""Do not envy a man of violence and do not choose any of his ways, for the devious person is an abomination to the Lord, but the upright…']"
14,55,14_mangione_luigi_the_is,"['mangione', 'luigi', 'the', 'is', 'are', 'left', 'for', 'in', 'cold', 'penny']","['The problem with ’s attempt at equivocation is no one is “celebrating violence” in the case of Daniel Penny. The celebration is for his acquittal in what was a political and absurd prosecution. People are celebrating Mangione’s cold-blooded murder of Brian Thompson.', 'You are as disgusting as that piece of shit Luigi Mangione. If you condone murder then you are the problem and not the solution. You should be ashamed of yourself. How dare you attempt to make a hero out of a cold blood murderer.', 'The leftists are insane. They hate Daniel Penny for stepping up and protecting innocent people, but they celebrate Luigi Mangione for murdering an innocent person in cold blood. Make it make sense!!']"
15,52,15_luigi_for_the_christmas,"['luigi', 'for', 'the', 'christmas', 'he', 'father', 'and', 'to', 'his', 'that']","['It is a shame that Luigi didn’t use his smarts and wealth to do good in the world, instead of evil. Violence does not solve anything. Luigi has brought pain to Brian’s family and his own family. He has thrown his once promising life away.', 'You’re retarded he wasn’t a tyrant he was just a guy that ran an insurance company. This type of thinking devolves into shooting anyone in the back that has more money than you. Thankfully Luigi will spend the rest of his privileged life in prison after he threw it all away…', 'He cowardly murdered a man in the back and now he has broken his (Luigi) mother’s heart! Two boys will not have the presence of their Father at Christmas or ever again. All that education didn’t teach him another way to protest his ideology!!!! This wasn’t the way!']"
16,52,16_luigi_and_up_is,"['luigi', 'and', 'up', 'is', 'grew', 'he', 'an', 'who', 'the', 'to']","['His family has generational wealth. He went to private high school and an ivy league college. The man he murdered grew up middle class and went to public college. Luigi is a moronic, homicidal hypocrite.', ""Luigi IS the rich. He attended private school, and an Ivy league college. His family was wealthy. Brian Thompson's father worked on grain elevators, and Brian attended public schools and the University of Iowa. Was he wealthy? Yeah, but he worked his way up to that, unlike Luigi."", 'So this Luigi prick grew up in a wealthy, politically connected family, attended the best boarding school and Ivy League, and he killed a guy who came from blue collar roots, made his way up the ladder due to hard work, and had a wife and kids that loved him. Luigi is a monster.']"
17,50,17_from_brian_thompson_his,"['from', 'brian', 'thompson', 'his', 'to', 'was', 'iowa', 'and', 'he', 'ceo']","['Brian Thompson went from Jewell, Iowa (population 1,200) to leading 140,000 employees and overseeing $280B of revenue at one of the world’s most important companies. His mom worked as a beautician, his dad at a grain elevator', 'Brian Thompson went from Jewell, Iowa (population 1,200) to leading 140,000 employees and overseeing $280B of revenue at one of the world’s most important companies. His mom worked as a beautician, his dad at a grain elevator—they were probably really proud when he graduated…', 'This is who Luigi shot\n\n""Brian Thompson went from Jewell, Iowa (population 1,200) to leading 140,000 employees and overseeing $280B of revenue at one of the world’s most important companies. His mom worked as a beautician, his dad at a grain elevator—they were probably really…']"
18,48,18_kyle_luigi_self_rittenhouse,"['kyle', 'luigi', 'self', 'rittenhouse', 'you', 'himself', 'defense', 'man', 'who', 'and']","[""There's a difference between shooting someone in self-defense face to face like Kyle Rittenhouse did. Your hero Luigi shot an unarmed man in the back like a coward. Watch the videos of both."", 'Wait. Luigi went through a trial and was found not guilty and justified? \nThere’s the difference. Kyle killed a couple pedophiles in self defense. Luigi murdered an innocent man in cold blood. You people are sick fucks.', 'Kyle was a hero who defended himself against attackers. Luigi murdered an innocent man in cold blood. Where’s the comparison?']"
19,48,19_luigi_healthcare_the_ceo,"['luigi', 'healthcare', 'the', 'ceo', 'to', 'you', 'was', 'who', 'that', 'he']","['It is truly baffling the amount of people who continue to champion the death of Brian Thompson. \n\nThe fact that the suspected shooter, Luigi Mangione, may have had a back injury that he was struggling with does not explain killing a healthcare CEO. \n\nIt makes zero sense to me.…', 'There is no win win about this, he was just a CEO, the United Healthcare will go on with or without him. All Luigi accomplished is taking a couple of kids father away from them. No matter how bad a person is, killing someone is not the answer.', ""And they do it because there's good money! Who wouldn't?\n\nIt's still them that are the source of the cost problem. People like the healthcare CEO have to deal with that problem downstream. And he's dead now because idiots like Luigi think he was to blame for the cost problems.""]"
20,38,20_insurance_brian_the_thompson,"['insurance', 'brian', 'the', 'thompson', 'health', 'to', 'have', 'healthcare', 'family', 'with']","[""Whatever you may think of Mr. Brian Thompson, his company, or the health insurance industry in general, I'm sure decent people can agree that this act is heinous, and Mr. Thompson & his associates, friends & family don't deserve this.\n\nCondolences 🙏 to Mr. Thompson's family."", 'Thank you for summarizing for the class the problem with health insurance in America. Don’t know what we would have done without the recap. And no, Brian Thompson wasn’t a murderer. He was the beneficiary of a broken system that all of you claim to want to fix while doing none of…', ""I understand the anger at insurance companies. But I'm appalled by the glorification in some quarters of the murder of Brian Thompson. Yes, he was an insurance executive, but he was also a dad and certainly didn't deserve to be executed and have people jeer at his family's loss.""]"
21,32,21_democrats_and_murder_like,"['democrats', 'and', 'murder', 'like', 'the', 'is', 'of', 'have', 'this', 'to']","['Fuck you losers. \n\nLegacy media already trying to make a narrative that he’s an incel.\n\nHe’s clearly good looking and fit there’s 0 chance that he’s an involuntary celibate.\n\nHe’s also high iq I doubt he is a serial hedonist and would destroy his life for not being able to…', ""Where are the Democrats calling out the horrendous attempt by  and  to normalize the brutal premeditated murder of Brian Thompson?\n\nThere is NO excuse.\n\nPeople weren't pushed to far like Warren suggests.\n\nThis isn't about healthcare like AOC suggests.\n\nSickening!"", 'This unfortunately is not hyperbole.\n\nDemocrats are saying Daniel Penny protecting people from someone making threats and trying to attack them is an act of ""vigilantism"".\n\nThose same Democrats are currently cheering for the alleged shooter of the UnitedHealthCare CEO, calling…']"
22,31,22_lorenz_taylor_joy_she,"['lorenz', 'taylor', 'joy', 'she', 'felt', 'piers', 'morgan', 'of', 'former', 'is']","['Piers Morgan Slams Beaming Former WaPo Hack Taylor Lorenz For Saying She Felt ‘Joy’ Over Murder of UnitedHealthcare CEO (Video)', 'PURE EVIL: “There are no words to describe how sick and evil Taylor Lorenz is. She literally laughed and says she felt ""joy"" when Brian Thompson was killed. — Taylor Lorenz is a heartless, disgusting subhuman piece of trash.”\n#LuigManigone', 'PURE EVIL: There are no words to describe how sick and evil Taylor Lorenz is. She literally laughed and says she felt ""joy"" when Brian Thompson was killed.\n\nTaylor Lorenz is a heartless, disgusting subhuman piece of trash.']"
23,29,23_justice_brian_for_thompson,"['justice', 'brian', 'for', 'thompson', 'family', 'eknmmrhj2zarfygaxsrhyy5uyee3kwqsgmqpufoypump', 'ca', 'and', 'god', 'the']","['Someone killed $Brian Thompson \n\nBrian has a family and two innocent children 🧒 so he deserves justice..\nJustice for #BrianThompson \n\nCa : EkNMMRhj2zArFyGAxsRhYy5UyeE3kwQSgMQpUfoYpump', 'BRIAN LEAVES BEHIND TWO BOYS AND HIS BELOVED WIFE. \n\nJUSTICE FOR BRIAN THOMPSON IS DUE.\nJUSTICE FOR BRIAN THOMPSON WILL COME.\nJUSTICE FOR BRIAN THOMPSON IS NEXT.', 'Justice for Brian Thompson.']"
24,20,24_him_free_dude_coolest,"['him', 'free', 'dude', 'coolest', 'olympics', 'fucking', 'special', 'need', 'cool', 'wrong']","['Everything that comes out about him makes him the raddest dude alive. Man of the fucking people', 'everything we learn about this dude makes him seem like the coolest guy of all time', 'Brian Thompson was a friend, an ally, and a believer in the power and importance of the athletes of Special Olympics. His sudden and horrifying death has left all of us in Special Olympics in shock and heartbreak. We will hold his spirit as we run our races for justice and joy…']"
