Topic,Count,Name,Representation,Representative_Docs
0,428,0_luigi_the_and_is,"['luigi', 'the', 'and', 'is', 'to', 'he', 'in', 'you', 'was', 'that']","['So because someone is colored he didn’t have the right to defend himself? Kyle Rittenhouse was defending himself, Luigi stalked and murdered that CEO. If someone is trying to kill you, do you give a fuck what color they are ? No you defend your right to live. Not the same.', 'i haven’t said shit about that Luigi case because i wanted all the facts and now that I have them . Why people are gunning for a MURDERER to be free is insane to me ! He killed a man that had a family , the healthcare system is still fucked up like ..', 'You have a twisted view of the world. Regardless of what you feel about Big Pharma and Luigi, he shot and killed an unarmed man from behind in cold blood and deserved to be punished for his crimes. That CEO was a father, son etc and deserves justice, what if he was your dad?']"
1,406,1_brian_thompson_the_and,"['brian', 'thompson', 'the', 'and', 'of', 'to', 'is', 'for', 'you', 'this']","['The death of Brian Thompson shows that the discourse in this country is can actually translate to violence in real life. We need to be better. Thoughts are with Brian’s family, friends, and the entire  family.', 'This is the good Brian Thompson!', '“prayers to the family of Brian Thompson”']"
2,382,2_mangione_the_luigi_of,"['mangione', 'the', 'luigi', 'of', 'is', 'to', 'and', 'in', 'that', 'for']","[""The only back fire in this case, is that Luigi Mangione shot Brian Thomson in the back and killed him..! (He's a murderer, and a coward.!)"", 'Reaction from the Mangione family: “Our family is shocked and devastated by Luigi’s arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved.”\n\nThis was sent by the office of Maryland Delegate Nino Mangione, Luigi’s cousin.', 'The people glorifying Luigi Mangione for his murder of the united healthcare CEO are just as bad as him']"
3,304,3_the_brian_thompson_of,"['the', 'brian', 'thompson', 'of', 'ceo', 'to', 'and', 'in', 'was', 'unitedhealthcare']","['Just a reminder that Brian Thompson, the CEO of UnitedHealth who was just shot and killed in NY, was a human being with a family. So many of the comments on his murder are despicable.', 'The III is deeply saddened at the passing of  CEO Brian Thompson this morning. Thompson was a  graduate, and worked with many in our organization and the insurance industry. Our hearts go out to Brian’s loved ones and UnitedHealthcare employees.', 'I am deeply saddened by the tragic loss of Brian Thompson, CEO of UnitedHealthcare. Brian and his team have been great partners to T-Mobile. He was a leader dedicated to improving healthcare for millions and my thoughts are with his family, friends, and colleagues during this…']"
4,233,4_the_unitedhealthcare_of_ceo,"['the', 'unitedhealthcare', 'of', 'ceo', 'is', 'murder', 'to', 'are', 'and', 'this']","['“THE WAY THE LEFT IS FANTASIZING OVER THE DEATH OF ANOTHER HUMAN BEING IS JUST SICK!”  and the hosts of  discuss the liberal support of the murderer of UnitedHealthCare’s CEO. ""The left seems to be on the other side of right and wrong.”', 'Are you saying that the murder of the Unitedhealthcare CEO is OK????', 'The UnitedHealthCare ceo 😭😭']"
